date,ticker,F_debt,stock_price,shares,Tbill
2021-11-30,LMT,7029,333.32001,275.786,0.18
2021-12-31,LMT,7029,355.41,275.786,0.3
2022-01-31,LMT,7029,389.13,272.327,0.55
2022-02-28,LMT,7029,433.79999,272.327,1
2022-03-31,LMT,6717,441.39999,266.534,1.34
2022-04-29,LMT,6717,432.12,266.107,1.89
2022-05-31,LMT,6717,440.10999,266.107,2.06
2022-06-30,LMT,6717,429.95999,266.107,2.65
2022-07-29,LMT,6717,413.81,265.152,3.02
2022-08-31,LMT,6717,420.10999,265.152,3.28
2022-09-30,LMT,6717,386.29001,265.152,3.89
2022-10-31,LMT,6717,486.67999,262.074,4.43
2022-11-30,LMT,6717,485.19,262.074,4.73
2022-12-30,LMT,6717,486.48999,262.074,4.68
2018-01-31,MMM,6333.5,250.5,594.884,1.8
2018-02-28,MMM,6333.5,235.50999,595.5,1.96
2018-03-29,MMM,6333.5,219.52,594.708,2.06
2018-04-30,MMM,7931,194.39,593.692,2.15
2018-05-31,MMM,7931,197.23,593.692,2.27
2018-06-29,MMM,7931,196.72,593.692,2.33
2018-07-31,MMM,7931,212.32001,586.613,2.39
2018-08-31,MMM,7931,210.92,586.613,2.45
2018-09-28,MMM,7931,210.71001,586.613,2.56
2018-10-31,MMM,7931,190.25999,582.287,2.65
2018-11-30,MMM,7931,207.92,582.287,2.7
2018-12-31,MMM,7931,190.53999,582.287,2.66
2019-01-31,MMM,7931,200.3,576.575,2.58
2019-02-28,MMM,7931,207.39,575.8,2.55
2019-03-29,MMM,7931,207.78,575.897,2.49
2019-04-30,MMM,7954,189.50999,576.427,2.42
2019-05-31,MMM,7954,159.75,576.427,2.34
2019-06-28,MMM,7954,173.34,576.427,2
2019-07-31,MMM,7954,174.72,575.279,1.96
2019-08-30,MMM,7954,161.72,575.279,1.77
2019-09-30,MMM,7954,164.39999,575.279,1.8
2019-10-31,MMM,7954,164.99001,575.051,1.61
2019-11-29,MMM,7954,169.77,575.051,1.57
2019-12-31,MMM,7954,176.42,575.051,1.55
2020-01-31,MMM,7954,158.66,575.185,1.53
2020-02-28,MMM,7954,149.24001,575.6,1.41
2020-03-31,MMM,12181,136.50999,575.261,0.33
2020-04-30,MMM,12181,151.92,575.196,0.18
2020-05-29,MMM,12181,156.44,575.196,0.16
